id,年,月,日,時,気温,降水量,日照時間
337,2018,1,15,2,1.9,0.0,0.0
338,2018,1,15,3,1.0,0.0,0.0
339,2018,1,15,4,0.4,0.0,0.0
340,2018,1,15,5,-0.3,0.0,0.0
341,2018,1,15,6,0.0,0.0,0.0
342,2018,1,15,7,-0.1,0.0,0.0
343,2018,1,15,8,0.7,0.0,0.4
344,2018,1,15,9,2.6,0.0,1.0
345,2018,1,15,10,4.9,0.0,1.0
346,2018,1,15,11,5.5,0.0,1.0
347,2018,1,15,12,7.4,0.0,0.9
348,2018,1,15,13,8.8,0.0,0.9
349,2018,1,15,14,11.8,0.0,0.8
350,2018,1,15,15,11.7,0.0,1.0
351,2018,1,15,16,8.1,0.0,1.0
352,2018,1,15,17,6.4,0.0,0.6
353,2018,1,15,18,6.3,0.0,0.0
354,2018,1,15,19,4.3,0.0,0.0
355,2018,1,15,20,4.6,0.0,0.0
356,2018,1,15,21,3.9,0.0,0.0
357,2018,1,15,22,3.5,0.0,0.0
358,2018,1,15,23,3.3,0.0,0.0
359,2018,1,15,24,2.5,0.0,0.0
360,2018,1,16,1,2.4,0.0,0.0
361,2018,1,16,2,2.4,0.0,0.0
362,2018,1,16,3,2.8,0.0,0.0
363,2018,1,16,4,2.3,0.0,0.0
364,2018,1,16,5,2.0,0.0,0.0
365,2018,1,16,6,4.7,0.0,0.0
366,2018,1,16,7,1.9,0.0,0.0
367,2018,1,16,8,3.7,0.0,0.5
368,2018,1,16,9,6.8,0.0,1.0
369,2018,1,16,10,9.4,0.0,1.0
370,2018,1,16,11,11.6,0.0,1.0
371,2018,1,16,12,11.7,0.0,1.0
372,2018,1,16,13,13.0,0.0,1.0
373,2018,1,16,14,13.5,0.0,1.0
374,2018,1,16,15,13.2,0.0,1.0
375,2018,1,16,16,12.3,0.0,1.0
376,2018,1,16,17,8.8,0.0,0.4
377,2018,1,16,18,8.7,0.0,0.0
378,2018,1,16,19,7.5,0.0,0.0
379,2018,1,16,20,7.1,0.0,0.0
380,2018,1,16,21,7.6,0.0,0.0
381,2018,1,16,22,7.5,0.0,0.0
382,2018,1,16,23,6.1,0.0,0.0
383,2018,1,16,24,4.4,0.0,0.0
384,2018,1,17,1,4.8,0.0,0.0
385,2018,1,17,2,4.8,0.0,0.0
386,2018,1,17,3,5.9,0.0,0.0
387,2018,1,17,4,5.5,0.0,0.0
388,2018,1,17,5,6.1,0.0,0.0
389,2018,1,17,6,6.4,0.0,0.0
390,2018,1,17,7,6.4,0.0,0.0
391,2018,1,17,8,6.7,0.0,0.0
392,2018,1,17,9,7.3,0.0,0.0
393,2018,1,17,10,6.9,0.0,0.0
394,2018,1,17,11,7.3,0.0,0.0
395,2018,1,17,12,7.6,0.0,0.0
396,2018,1,17,13,8.3,0.0,0.0
397,2018,1,17,14,8.9,0.0,0.0
398,2018,1,17,15,8.0,0.0,0.0
399,2018,1,17,16,7.4,0.5,0.0
400,2018,1,17,17,7.2,3.5,0.0
401,2018,1,17,18,8.0,3.0,0.0
402,2018,1,17,19,7.4,6.5,0.0
403,2018,1,17,20,7.2,1.0,0.0
404,2018,1,17,21,7.2,0.5,0.0
405,2018,1,17,22,7.0,0.0,0.0
406,2018,1,17,23,6.6,0.0,0.0
407,2018,1,17,24,6.7,0.0,0.0
408,2018,1,18,1,6.5,0.0,0.0
409,2018,1,18,2,6.1,0.0,0.0
410,2018,1,18,3,5.3,0.0,0.0
411,2018,1,18,4,4.2,0.0,0.0
412,2018,1,18,5,3.9,0.0,0.0
413,2018,1,18,6,3.3,0.0,0.0
414,2018,1,18,7,3.2,0.0,0.0
415,2018,1,18,8,4.9,0.0,0.6
416,2018,1,18,9,8.0,0.0,1.0
417,2018,1,18,10,10.0,0.0,1.0
418,2018,1,18,11,12.0,0.0,1.0
419,2018,1,18,12,13.4,0.0,1.0
420,2018,1,18,13,13.3,0.0,0.9
421,2018,1,18,14,12.5,0.0,0.2
422,2018,1,18,15,11.7,0.0,0.0
423,2018,1,18,16,12.2,0.0,0.0
424,2018,1,18,17,10.7,0.0,0.0
425,2018,1,18,18,8.8,0.0,0.0
426,2018,1,18,19,10.2,0.0,0.0
427,2018,1,18,20,8.3,0.0,0.0
428,2018,1,18,21,7.7,0.0,0.0
429,2018,1,18,22,8.5,0.0,0.0
430,2018,1,18,23,7.0,0.0,0.0
431,2018,1,18,24,7.2,0.0,0.0
432,2018,1,19,1,6.7,0.0,0.0
433,2018,1,19,2,6.8,0.0,0.0
434,2018,1,19,3,7.8,0.0,0.0
435,2018,1,19,4,8.1,0.0,0.0
436,2018,1,19,5,7.2,0.0,0.0
437,2018,1,19,6,6.6,0.0,0.0
438,2018,1,19,7,6.8,0.0,0.0
439,2018,1,19,8,6.7,0.0,0.5
440,2018,1,19,9,8.8,0.0,1.0
441,2018,1,19,10,9.2,0.0,0.9
442,2018,1,19,11,10.2,0.0,0.8
443,2018,1,19,12,10.3,0.0,0.5
444,2018,1,19,13,10.5,0.0,0.0
445,2018,1,19,14,10.2,0.0,0.0
446,2018,1,19,15,10.2,0.0,0.1
447,2018,1,19,16,9.7,0.0,0.1
448,2018,1,19,17,9.0,0.0,0.0
449,2018,1,19,18,9.7,0.0,0.0
450,2018,1,19,19,8.6,0.0,0.0
451,2018,1,19,20,8.3,0.0,0.0
452,2018,1,19,21,7.9,0.0,0.0
453,2018,1,19,22,7.7,0.0,0.0
454,2018,1,19,23,7.5,0.0,0.0
455,2018,1,19,24,7.0,0.0,0.0
456,2018,1,20,1,6.4,0.0,0.0
457,2018,1,20,2,6.1,0.0,0.0
458,2018,1,20,3,5.8,0.0,0.0
459,2018,1,20,4,5.6,0.0,0.0
460,2018,1,20,5,5.5,0.0,0.0
461,2018,1,20,6,5.4,0.0,0.0
462,2018,1,20,7,5.2,0.0,0.0
463,2018,1,20,8,5.4,0.0,0.0
464,2018,1,20,9,5.9,0.0,0.0
465,2018,1,20,10,6.7,0.0,0.1
466,2018,1,20,11,7.5,0.0,0.2
467,2018,1,20,12,8.3,0.0,0.0
468,2018,1,20,13,8.3,0.0,0.0
469,2018,1,20,14,9.1,0.0,0.4
470,2018,1,20,15,9.1,0.0,0.4
471,2018,1,20,16,8.7,0.0,1.0
